Attribute_Name,Mandatory,Num_Domain_ID,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Entity_Name,PK_Flag,FK_Flag,Sequence,T_Size,T_Precision,T_Scale,Data_Source
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_STATUS,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_DEPARTMENT,,,8,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_POSITION,,,14,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_DIVISION,,,8,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_COUNTRY,,,9,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_Holiday_Assignment,,,3,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_TYPE,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_Job_Code,,,14,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_EMPLOYMENT,,,17,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_ADDR_PERSONAL,,,5,18,,,
dt_upd_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_PERSONAL_HISTORY,,,13,18,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_EVENT,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_JOB,,,22,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_ADDR_WORK,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_BANK_ACC_TRANSIT,,,5,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_FO_COMPANY,,,8,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP,,,18,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_BANK_INFO_HISTORY,,,5,20,,,
